"pointID","scenario","year","mat","map","gsp","mtcm","mmin","mtwm","mmax","sday","ffp","dd5","gsdd5","d100","dd0","smrpb","smrsprpb","mukey","SP_PA","SP_IV","SA_PA","SA_IV","LL_PA","LL_IV","PD_PA","PD_IV","LP_PA","LP_IV","SI","SISP","r_SDI"
32,"GFDLCM21_A2",2030,16.9,1363,773,5.5,-1,26.8,32.6,87,230,4445,3880,47,8,1.27,1.56,"811253",0.18,1.25467298994603,0.34,2.68453595246011,0.755,11.4758025216271,0.57,2.92080182430752,0.82,39.2491785994374,75.9696285714286,"PIPA2",0.95159078409403
32,"GFDLCM21_A2",2060,17.7,1339,775,5.5,-0.9,28.3,34.1,81,243,4741,4237,48,7,1.5,1.8,"811253",0.28,6.75710648158951,0.375,10.6903279842462,0.34,20.6925772240979,0.455,13.2607266033002,0.595,45.7604992856392,74.9941714285714,"PIPA2",0.865180330690126
32,"GFDLCM21_A2",2090,20.1,1380,764,8.6,2.2,31.1,37.3,66,261,5564,5057,25,1,1.34,1.74,"811253",0.31,5.00058755224503,0.39,24.9289661115989,0.33,25.9337977949419,0.34,8.99070236150075,0.54,46.482548463509,83.9921333333333,"PIPA2",0.833780663689289
32,"GFDLCM21_B1",1990,15.6,1212,655,4.3,-2,25.8,31.9,96,204,4005,3381,59,21,1.24,1.54,"811253",0.12,0,0.375,0.829378666674187,0.98,28.2558050095989,0.74,0.417144166452557,0.875,25.5569902392012,76.6643333333333,"PIPA2",1
32,"GFDLCM21_B1",2030,16.8,1330,722,6.4,0.1,27.3,33.4,86,227,4377,3791,42,5,1.22,1.56,"811253",0.225,2.10907078960313,0.37,3.17666657844769,0.845,13.0677077933474,0.73,0.529112666853656,0.79,42.3822030044795,75.1656333333334,"PIPA2",0.963094652118538
32,"GFDLCM21_B1",2060,17.2,1354,781,5.4,-0.8,27.5,33.5,86,232,4561,3978,47,8,1.4,1.89,"811253",0.205,5.00857635502565,0.35,8.59924448462171,0.495,14.2610361534046,0.495,9.0551988158787,0.705,42.0713640558717,72.9282047619048,"PIPA2",0.908206629275906
32,"GFDLCM21_B1",2090,18,1399,783,5.2,-1.3,27.8,33.8,77,249,4810,4217,41,9,1.43,1.79,"811253",0.3,7.9838442577791,0.295,10.7456935567449,0.415,18.6260010532574,0.435,13.4589333076556,0.62,44.6306254930331,75.5388714285714,"PIPA2",0.873926299989025
32,"HADCM3_A2",1990,15.6,1212,655,4.3,-2,25.8,31.9,96,204,4005,3381,59,21,1.24,1.54,"811253",0.12,0,0.375,0.829378666674187,0.98,28.2558050095989,0.74,0.417144166452557,0.875,25.5569902392012,76.6643333333333,"PIPA2",1
32,"HADCM3_A2",2030,17.3,1201,602,5.6,-0.8,28.2,34.9,86,228,4585,4052,45,7,1.12,1.36,"811253",0.425,8.20362716897562,0.27,0.448051766956703,0.23,4.75974718611476,0.245,0.0575002743865138,0.64,35.5514668533773,80.2219380952381,"PIPA2",0.882204927348467
32,"HADCM3_A2",2060,18.2,1309,689,5.4,-1.1,29.6,36.2,79,248,4912,4498,47,9,1.34,1.38,"811253",0.375,7.15447712633301,0.225,0.732805276831384,0.215,6.86846499285154,0.23,5.29669274695403,0.475,41.6555265428648,81.9820714285714,"PIPA2",0.782752448526044
32,"HADCM3_A2",2090,20.3,1389,777,7,0.4,32.1,38.8,65,261,5642,5230,35,1,1.6,2.09,"811253",0.36,10.0225767390036,0.385,15.824795126657,0.335,24.6059249553117,0.365,17.2168360766453,0.43,47.3509153545426,79.5850380952381,"PIPA2",0.791251453947833
32,"HADCM3_B2",1990,15.6,1212,655,4.3,-2,25.8,31.9,96,204,4005,3381,59,21,1.24,1.54,"811253",0.12,0,0.375,0.829378666674187,0.98,28.2558050095989,0.74,0.417144166452557,0.875,25.5569902392012,76.6643333333333,"PIPA2",1
32,"HADCM3_B2",2030,17.1,1192,658,4.9,-1.5,28.2,34.2,87,229,4523,4003,48,16,1.16,1.42,"811253",0.415,4.72156775262105,0.17,1.36025674942585,0.24,5.76240242612323,0.3,0.226125327441608,0.435,29.4108879920712,77.4162380952381,"PIPA2",0.773234684569175
32,"HADCM3_B2",2060,17.6,1351,770,7.1,0.3,28.4,34.4,85,235,4686,4068,37,2,1.48,1.74,"811253",0.18,2.5308511776416,0.36,3.62733651576872,0.535,20.4839496279647,0.535,12.7815393472317,0.7,37.0382781269767,74.0337047619048,"PIPA2",0.905855294916205
